fire,cso,poidse1,poidse2,poidse3,csa,v_wac,class_1,class_2,class_3,fire_bb,year
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6H,1,1,,6H,,Other,Other,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,96.24104,closed,closed,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,4L,1,8,1,1,,Lande,closed,closed,,2021
,6A,1,,,,,Other,Missing,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,3,1,,,,,Opened,Missing,Opened,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,2.41509437561035,1,1,131.8373,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,147.9775,closed,closed,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,Opened,,2021
,1,1,4.8301887512207,1,1,180.5131,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,62.36499,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6H,1,1,,6H,,Other,Other,Lande,,2021
,1,1,4.8301887512207,1,1,486.2216,closed,closed,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,4L,1,,,,,Lande,Missing,Missing,,2021
,1,1,1,,1,,closed,closed,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,3,1,,,,,Opened,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,,,,,Other,Missing,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,7,1,1,,7,,Other,Other,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,,,,,Other,Missing,Missing,,2021
,4L,1,4,1,1,120.8344,Lande,closed,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,3,1,,,,,Opened,Missing,Opened,,2021
,1,1,4.8301887512207,1,1,,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,4L,1,8,,6H,,Lande,Lande,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,182.3141,closed,closed,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,4.8301887512207,1,1,22.13843,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,333.0803,closed,closed,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,,,,,Other,Missing,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,3,1,,,,,Opened,Missing,Opened,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,,,,,Other,Missing,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,3,1,4.8301887512207,1,3,9.884227,Opened,Opened,Opened,1,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,47.85349,closed,closed,closed,,2021
,3,1,,,,,Opened,Missing,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,13.85034,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,39.78138,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,189.5955,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,4L,1,,,,,Lande,Missing,Opened,1,2021
,3,1,,,,,Opened,Missing,Opened,1,2021
1,1,1,,,,,closed,Missing,closed,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,3,1,,,,,Opened,Missing,Lande,,2021
,1,1,,,,,closed,Missing,Opened,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,3,1,,,,,Opened,Missing,Opened,,2021
,7,1,1,,7,,Other,Other,Missing,1,2021
,6A,1,,,,,Other,Missing,Missing,1,2021
,1,1,2.41509437561035,1,1,,closed,closed,Missing,1,2021
1,1,1,,,,,closed,Missing,Opened,1,2021
,3,1,4.8301887512207,1,1,8.777258,Opened,closed,closed,1,2021
,1,1,,,,,closed,Missing,Missing,1,2021
,4L,1,,,,,Lande,Missing,Opened,1,2021
,3,1,,,,,Opened,Missing,Opened,1,2021
,3,1,4.8301887512207,1,1,12.30482,Opened,closed,closed,1,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,4L,1,8,1,3,,Lande,Lande,Opened,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,4L,1,,,,,Lande,Missing,Missing,1,2021
,6A,1,,,,,Other,Missing,Missing,1,2021
,4L,1,,,,,Lande,Missing,closed,1,2021
1,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,1,1,2.41509437561035,1,1,91.67214,closed,closed,closed,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,3,1,,,,,Opened,Missing,Opened,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,4.8301887512207,1,1,81.05725,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,closed,1,2021
,4L,1,4,,4L,,Lande,Lande,Lande,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
1,1,1,,,,,closed,Missing,closed,1,2021
1,1,1,4.8301887512207,1,3,,closed,Other,Opened,1,2021
,3,1,,,,,Opened,Missing,closed,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,1,1,2.41509437561035,1,1,17.07957,closed,closed,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,1,1,,,,,closed,Missing,closed,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
1,1,1,,,,,closed,Missing,Opened,1,2021
1,4L,1,,,,,Lande,Missing,Lande,1,2021
1,4L,1,,,,,Lande,Missing,Opened,1,2021
,3,1,,,,,Opened,Missing,Lande,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,1,1,,,,,closed,Missing,Opened,,2021
,1,1,,,,,closed,Missing,closed,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,6A,1,,,,,Other,Missing,Missing,,2021
,1,1,2.41509437561035,1,1,,closed,closed,Lande,1,2021
,7,1,,,,,Other,Missing,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
1,3,1,,,,,Opened,Missing,Lande,1,2021
1,3,1,4.8301887512207,,4L,,Opened,Opened,Lande,1,2021
1,1,1,,,,,closed,Missing,closed,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,1,1,,,,,closed,Missing,Opened,,2021
,4L,1,8,,4L,,Lande,Lande,Lande,,2021
,3,1,,,,,Opened,Missing,Lande,,2021
,1,1,2.41509437561035,1,1,14.38628,closed,closed,Missing,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,1,1,,,,,closed,Missing,Missing,,2021
,3,1,,,,,Opened,Missing,closed,,2021
,1,1,,,,,closed,Missing,Opened,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,1,1,2.41509437561035,1,1,12.93229,closed,closed,closed,1,2021
,4L,1,,,,,Lande,Missing,Opened,1,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
1,6A,1,,,,,Other,Missing,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,3,1,,,,,Opened,Missing,Opened,1,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,3,1,,,,,Opened,Missing,Lande,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,1,1,2.41509437561035,1,1,1.536209,closed,closed,Missing,,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
,4L,1,8,,4L,,Lande,Lande,Lande,1,2021
1,1,1,,,,,closed,Missing,closed,1,2021
,1,1,4.8301887512207,1,1,81.61516,closed,closed,closed,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,1,1,,,,,closed,Missing,closed,1,2021
1,3,1,4.8301887512207,,4L,,Opened,Opened,Lande,1,2021
1,4L,1,,,,,Lande,Missing,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,3,1,,,,,Opened,Missing,Lande,,2021
,1,1,4.8301887512207,1,1,8.815249,closed,closed,Opened,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,1,2021
,7,1,1,,7,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,3,1,,,,,Opened,Missing,Lande,1,2021
,7,1,1,,7,,Other,Other,Missing,1,2021
,3,1,,,,,Opened,Missing,Lande,1,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
,1,1,,,,,closed,Missing,Lande,,2021
,1,1,,,,,closed,Missing,closed,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,9,1,1,,9,,Other,Other,Missing,1,2021
,9,1,1,,9,,Other,Other,Missing,1,2021
,9,1,1,,9,,Other,Other,Missing,1,2021
,6A,1,,,,,Other,Missing,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,1,2021
,3,1,,,,,Opened,Missing,Lande,1,2021
,1,1,4.8301887512207,1,1,20.46939,closed,closed,closed,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,3,1,,,,,Opened,Missing,Opened,,2021
,4L,1,,,,,Lande,Missing,Missing,,2021
,4L,1,,,,,Lande,Missing,Missing,,2021
,6A,1,,,,,Other,Missing,Missing,1,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
,9,1,1,,9,,Other,Other,Missing,1,2021
,4L,1,,,,,Lande,Missing,Missing,1,2021
1,4L,1,,,,,Lande,Missing,Lande,1,2021
,4L,1,1,,4L,,Lande,Lande,Lande,1,2021
,1,1,,,,,closed,Missing,Lande,1,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,3,1,2.41509437561035,1,1,13.71621,Opened,closed,Lande,,2021
,4L,1,4,,6A,,Lande,Lande,Missing,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,4L,1,,,,,Lande,Missing,Opened,,2021
,1,1,,,,,closed,Missing,closed,,2021
,3,1,,,,,Opened,Missing,Opened,,2021
,1,1,,,,,closed,Missing,closed,,2021
,9,1,1,,9,,Other,Other,Missing,,2021
,4L,1,,,,,Lande,Missing,Lande,,2021
,9,1,1,,9,,Other,Other,Missing,1,2021
,4L,1,,,,,Lande,Missing,Lande,1,2021
,9,1,1,,9,,Other,Other,Missing,1,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,4L,1,4,,6A,,Lande,Lande,Lande,,2021
,3,1,,,,,Opened,Missing,Missing,,2021
,3,1,,,,,Opened,Missing,Lande,,2021
,6A,1,1,,6A,,Other,Other,Missing,,2021
,6A,1,,,,,Other,Missing,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2021
,9,1,1,,9,,Other,Other,Missing,,2021
,8,1,1,,8,,Other,Other,Missing,,2021
,9,1,1,,9,,Other,Other,Missing,,2021
,6A,1,1,,6A,,Other,Other,Lande,,2021
,9,1,1,,9,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,9,1,1,,9,,Other,Other,Missing,,2021
,9,1,1,,9,,Other,Other,Missing,,2021
,7,1,1,,7,,Other,Other,Missing,,2021
,1,1,1,,1,,closed,closed,Missing,,2021
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,2.32727265357971,1,1,43.17688,closed,closed,closed,,2022
,1,1,,,,,closed,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,8,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,2.32727265357971,1,1,109.9456,closed,closed,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,3,1,,,,,Opened,Missing,Missing,,2022
,1,1,,,,,closed,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6H,1,1,,6H,,Other,Other,Lande,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,4.65454530715942,,6A,,closed,Other,Lande,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,,,,,Other,Missing,Lande,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,134.7346,closed,closed,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,2.32727265357971,1,1,54.21816,closed,closed,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,79.27407,closed,closed,Opened,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,3,1,,,,,Opened,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,8,,6A,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,1,1,2.32727265357971,,1,,closed,closed,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,closed,,2022
,1,1,4.65454530715942,1,1,91.70116,closed,closed,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,9,1,1,,9,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,4L,1,,,,,Lande,Missing,Lande,,2022
,1,1,4.65454530715942,1,1,121.8168,closed,closed,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,1,1,4.65454530715942,1,1,840.3067,closed,closed,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,570.7151,closed,closed,closed,,2022
,4L,1,,,,,Lande,Missing,Opened,,2022
,1,1,4.65454530715942,1,1,265.9339,closed,closed,closed,,2022
,1,1,,,,,closed,Missing,Missing,,2022
,1,1,,,,,closed,Missing,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,3,1,2.32727265357971,,4L,,Opened,Opened,Lande,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,,closed,closed,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,97.33444,closed,closed,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,54.15926,closed,closed,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,7,1,1,,7,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,2.32727265357971,1,1,21.08056,closed,closed,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,4.65454530715942,1,1,59.82806,closed,closed,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,319.524,closed,closed,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Opened,,2022
,6A,1,1,,6A,,Other,Other,Lande,,2022
,6H,1,1,,6H,,Other,Other,Lande,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,3,1,,,,,Opened,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,4L,1,,,,,Lande,Missing,Lande,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,1,,6A,,Other,Other,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,6A,1,,,,,Other,Missing,Missing,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,,closed,closed,closed,,2022
,1,1,,,,,closed,Missing,closed,,2022
,1,1,4.65454530715942,1,1,17.78477,closed,closed,closed,,2022
